event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1670,1,5887,16,263.004,18.289,3.795,-19.263,20,85817267.362
1671,0,5888,36,270.948,5.829,-18.714,-14.861,3,343106253.517
1671,1,5889,36,56.348,4.541,-17.946,-14.933,2,343106253.567
1671,2,5891,36,86.415,4.397,-18.254,-15.535,2,343106253.591
1672,0,5892,27,713.032,-18.789,10.707,-13.667,14,20331623.471
1673,0,5894,23,127.545,-4.756,17.099,-18.936,22,58015153.217
1673,1,5895,23,94.314,-5.706,20.963,-22.551,52,58015153.386
1674,0,5896,24,714.724,-14.847,13.963,-13.363,4,25769625.889
1674,1,5897,24,96.643,-15.211,13.584,-12.904,4,25769625.913
1674,2,5898,24,184.96,-16.605,14.241,-13.468,14,25769625.968
1675,0,5899,24,576.111,-15.649,12.415,-12.873,3,262228237.411
1675,1,5900,24,108.187,-15.797,11.766,-13.919,3,262228237.453
1675,2,5902,24,302.144,-16.63,11.548,-14.572,13,262228237.495
1676,0,5903,35,397.658,-5.475,-15.89,-19.156,12,74532442.69
1676,1,5904,35,74.379,-7.713,-19.937,-19.384,34,74532442.844
1677,0,5905,44,808.041,17.693,-7.315,-20.964,31,120325790.904
1677,1,5907,44,202.528,15.811,-6.813,-17.714,1,120325791.032
1678,0,5908,13,522.355,12.439,0.834,-25.617,33,447368303.167
1678,1,5910,13,285.858,11.962,-1.645,-27.593,40,447368303.275
1678,2,5911,13,203.577,10.79,-1.386,-27.305,41,447368303.317
1679,0,5912,11,498.502,-3.973,-11.615,-29.617,50,67818651.696
1680,0,5914,1,1001.993,3.661,10.381,-26.299,32,55097550.473
1681,0,5916,12,774.655,4.692,-1.922,-24.956,14,93821057.347
1681,1,5917,12,33.982,4.222,-1.768,-25.295,14,93821057.367
1681,2,5920,12,225.583,3.391,-0.944,-25.424,14,93821057.416
1682,0,5921,32,239.53,-16.079,-3.09,-21.167,22,64717050.124
1682,1,5923,32,171.808,-15.599,-3.282,-20.925,22,64717050.151
1683,0,5924,5,55.747,-6.564,14.495,-28.079,51,205389906.698
1684,0,5925,20,110.568,11.103,12.125,-17.898,1,62780965.45
1684,1,5926,20,610.401,12.597,15.899,-20.565,30,62780965.612
1684,2,5927,19,74.565,17.084,14.474,-14.034,24,62780965.881
1684,3,5928,19,10.648,16.458,15.23,-13.806,23,62780965.914
1684,4,5929,19,174.612,15.408,15.691,-14.262,23,62780965.955
1685,0,5930,28,765.821,-14.475,10.404,-18.566,12,73018142.173
1685,1,5933,28,261.961,-14.947,9.047,-17.141,1,73018142.253
1686,0,5934,1,796.531,4.606,10.295,-21.843,4,2382188.157
1687,0,5936,13,1014.34,10.264,2.022,-24.178,22,152237755.412
1688,0,5938,1,687.225,6.264,9.35,-23.989,20,65180227.101
1688,1,5939,1,81.356,6.59,9.867,-24.43,25,65180227.126
1688,2,5941,1,77.447,7.066,10.36,-24.113,25,65180227.151
1688,3,5945,1,192.979,7.427,10.998,-24.677,35,65180227.196
1689,0,5946,37,123.555,-1.013,-22.269,-19.822,40,254756927.542
1690,0,5947,20,645.803,11.098,10.319,-19.972,12,35077644.509
1690,1,5948,20,34.86,9.243,13.444,-20.079,14,35077644.63
1690,2,5949,20,89.924,8.026,15.568,-21.587,34,35077644.726
1690,3,5950,22,39.752,6.551,17.189,-20.526,32,35077644.807
1690,4,5952,22,191.558,5.916,16.993,-20.272,22,35077644.833
1691,0,5953,0,342.509,6.519,5.982,-23.9,10,128860089.645
1691,1,5954,2,467.048,8.841,6.08,-25.345,30,128860089.736
1691,2,5955,2,9.336,8.202,6.7,-24.408,20,128860089.779
1691,3,5956,1,32.355,8.095,9.755,-22.532,15,128860089.899
1691,4,5957,1,16.241,7.255,10.424,-23.284,25,128860089.943
1691,5,5958,1,134.996,6.834,11.074,-23.063,25,128860089.97
